title,price_text,price,odometer_text,odometer_km,detail_url,network_id,card_id,inventory_year_filter,inventory_make_filter,inventory_model_filter,search_url,verified_at,detail_date,first_image_url,detail_page_title,carbarn_evidence,in_date_range,updated_at,dealer_stock_id,dealer_stock_ids,car_code,photo_count,all_image_urls,image_count,vin,registration_plate,body_type,fuel,transmission,matched_stock_no,matched_chassis,match_score,match_reason,match_status,mismatch_count,mismatch_fields,mismatch_messages
2022 Nissan Serena Highway Star V C27 Auto,"$30,400",30400,"41,090km",41090,https://www.carsales.com.au/cars/details/2022-nissan-serena-highway-star-v-c27-auto/OAG-AD-25780110/,OAG-AD-25780110,OAG-AD-25780110,2022,NISSAN,Serena,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/cars/dealer/2lpoox2luysyu1iljka6ku8u0.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2022 Nissan Serena Highway Star V C27 Auto,stock_tail4_match:1084,,2026-05-01T10:38:40,20221084,20221084,1343,45,"[""https://carsales.pxcrush.net/carsales/cars/dealer/2lpoox2luysyu1iljka6ku8u0.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZN00GFC27243635,Check with seller,Wagon,Petrol,Automatic,1084,GFC27-243635,100.0,stock_tail4_match:1084,identified,0,,
2021 Nissan Serena Highway Star S-Hybrid C27 Auto,"$30,900",30900,"46,656km",46656,https://www.carsales.com.au/cars/details/2021-nissan-serena-highway-star-s-hybrid-c27-auto/OAG-AD-25780111/,OAG-AD-25780111,OAG-AD-25780111,2021,NISSAN,Serena,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/cars/dealer/d9rzrdj078rornkm2z33c3z74.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2021 Nissan Serena Highway Star S-Hybrid C27 Auto,stock_tail4_match:1081,,2026-05-01T10:38:40,20211081,20211081,1341,39,"[""https://carsales.pxcrush.net/carsales/cars/dealer/d9rzrdj078rornkm2z33c3z74.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZM00GFC27224207,Check with seller,Wagon,Petrol,Automatic,1081,GFC27-224207,100.0,stock_tail4_match:1081,identified,0,,
2021 Nissan Serena Highway Star S-Hybrid C27 Auto,"$29,400",29400,"52,565km",52565,https://www.carsales.com.au/cars/details/2021-nissan-serena-highway-star-s-hybrid-c27-auto/OAG-AD-25780112/,OAG-AD-25780112,OAG-AD-25780112,2021,NISSAN,Serena,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/cars/dealer/blunklb4gxzd22rnozj8adebu.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2021 Nissan Serena Highway Star S-Hybrid C27 Auto,stock_tail4_match:1080,,2026-05-01T10:38:40,20211080,20211080,1338,27,"[""https://carsales.pxcrush.net/carsales/cars/dealer/blunklb4gxzd22rnozj8adebu.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZM00GFC27230749,Check with seller,Wagon,Petrol,Automatic,1080,GFC27-230749,100.0,stock_tail4_match:1080,identified,0,,
2024 Toyota Yaris X Hybrid Auto eFour,"$28,400",28400,"22,539km",22539,https://www.carsales.com.au/cars/details/2024-toyota-yaris-x-hybrid-auto-efour/OAG-AD-25780107/,OAG-AD-25780107,OAG-AD-25780107,2024,TOYOTA,YARIS,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/cars/dealer/rtperfq5cdqujjjylpa9uhl.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2024 Toyota Yaris X Hybrid Auto eFour,stock_tail4_match:1096,,2026-05-01T10:38:40,20241096,20241096,1244,24,"[""https://carsales.pxcrush.net/carsales/cars/dealer/rtperfq5cdqujjjylpa9uhl.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZRMXPH170003721,Check with seller,Hatch,Hybrid,Automatic,1096,MXPH17-0003721,100.0,stock_tail4_match:1096,identified,0,,
2020 Toyota Hiace DX LWB Auto,"$31,900",31900,"36,000km",36000,https://www.carsales.com.au/cars/details/2020-toyota-hiace-dx-lwb-auto/OAG-AD-25780114/,OAG-AD-25780114,OAG-AD-25780114,2020,TOYOTA,Hiace,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/4tgqdxmf8rknkkd3094k0c3la.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2020 Toyota Hiace DX LWB Auto,stock_tail4_match:1092,,2026-05-01T10:38:40,20201092,20201092,1344,5,"[""https://carsales.pxcrush.net/carsales/car/dealer/4tgqdxmf8rknkkd3094k0c3la.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZLTRH2000317052,Check with seller,Van,Petrol,Automatic,1092,TRH200-0317052,100.0,stock_tail4_match:1092,identified,0,,
1998 Mitsubishi Pajero Mini X H53A Auto,"$10,400",10400,"61,157km",61157,https://www.carsales.com.au/cars/details/1998-mitsubishi-pajero-mini-x-h53a-auto/OAG-AD-25705796/,OAG-AD-25705796,OAG-AD-25705796,1998,MITSUBISHI,Pajero,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/u3tmxa6o0tgqf4919sme1s98.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1998 Mitsubishi Pajero Mini X H53A Auto,stock_tail4_match:1058,,2026-05-01T10:38:40,19981058,19981058,1261,19,"[""https://carsales.pxcrush.net/carsales/car/dealer/u3tmxa6o0tgqf4919sme1s98.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZW00H53A0000467,Check with seller,SUV,Petrol,Automatic,1058,H53A-0000467,100.0,stock_tail4_match:1058,identified,0,,
2013 Toyota Hiace DX Super LWB Auto 4WD,"$33,900",33900,"222,468km",222468,https://www.carsales.com.au/cars/details/2013-toyota-hiace-dx-super-lwb-auto-4wd/OAG-AD-24937831/,OAG-AD-24937831,OAG-AD-24937831,2013,TOYOTA,Hiace,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/3jkj1win68tjfgn0g9wjiwr6t.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2013 Toyota Hiace DX Super LWB Auto 4WD,stock_tail3_match:605,,2026-05-01T10:38:40,2013605,2013605,1187,22,"[""https://carsales.pxcrush.net/carsales/car/dealer/3jkj1win68tjfgn0g9wjiwr6t.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZDTRH2260011595,Check with seller,Van,Petrol,Automatic,605,TRH226-0011595,95.0,stock_tail3_match:605,identified,0,,
2008 Toyota Hiace Super LWB Auto 4WD,"$32,900",32900,"163,439km",163439,https://www.carsales.com.au/cars/details/2008-toyota-hiace-super-lwb-auto-4wd/OAG-AD-25508529/,OAG-AD-25508529,OAG-AD-25508529,2008,TOYOTA,Hiace,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/cxtx1y2b4wafxw0swhdrjtvw3.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2008 Toyota Hiace Super LWB Auto 4WD,stock_tail3_match:723,,2026-05-01T10:38:40,2008723,2008723,1247,23,"[""https://carsales.pxcrush.net/carsales/car/dealer/cxtx1y2b4wafxw0swhdrjtvw3.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZ8TRH2260005524,Check with seller,Van,Petrol,Automatic,723,TRH226-0005524,95.0,stock_tail3_match:723,identified,0,,
1991 Toyota Hiace SWB Auto,"$37,900",37900,"137,631km",137631,https://www.carsales.com.au/cars/details/1991-toyota-hiace-swb-auto/OAG-AD-25532399/,OAG-AD-25532399,OAG-AD-25532399,1991,TOYOTA,Hiace,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/23iadlu2asx9o7k724hcdr9he.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1991 Toyota Hiace SWB Auto,stock_tail3_match:896,,2026-05-01T10:38:40,1991896,1991896,1302,32,"[""https://carsales.pxcrush.net/carsales/car/dealer/23iadlu2asx9o7k724hcdr9he.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZM0LH1190018886,Check with seller,Van,Diesel,Automatic,896,LH1190018886,95.0,stock_tail3_match:896,identified,0,,
2000 Toyota Landcruiser Cygnus Auto 4x4,"$29,900",29900,"217,819km",217819,https://www.carsales.com.au/cars/details/2000-toyota-landcruiser-cygnus-auto-4x4/OAG-AD-25437171/,OAG-AD-25437171,OAG-AD-25437171,2000,TOYOTA,Land Cruiser,,2026-05-01T10:38:40,,https://carsales.pxcrush.net/carsales/car/dealer/2plzb82wn186ff00rra20uudb.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2000 Toyota Landcruiser Cygnus Auto 4x4,stock_tail3_match:804,,2026-05-01T10:38:40,2000804,2000804,1289,31,"[""https://carsales.pxcrush.net/carsales/car/dealer/2plzb82wn186ff00rra20uudb.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",1,6ZZYUZJ1000105063,Check with seller,SUV,Petrol,Automatic,804,UZJ100-0105063,95.0,stock_tail3_match:804,identified,0,,
