title,price_text,price,odometer_text,odometer_km,detail_url,network_id,card_id,inventory_year_filter,inventory_make_filter,inventory_model_filter,search_url,verified_at,detail_date,first_image_url,detail_page_title,carbarn_evidence,in_date_range,updated_at,all_image_urls,body_type,car_code,dealer_stock_id,dealer_stock_ids,fuel,image_count,match_reason,match_score,match_status,matched_chassis,matched_stock_no,mismatch_count,mismatch_fields,mismatch_messages,photo_count,registration_plate,transmission,vin
2022 Nissan Serena Highway Star V C27 Auto,"$30,400",30400,"41,090km",41090,https://www.carsales.com.au/cars/details/2022-nissan-serena-highway-star-v-c27-auto/OAG-AD-25780110/,OAG-AD-25780110,OAG-AD-25780110,2022,NISSAN,Serena,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/cars/dealer/2lpoox2luysyu1iljka6ku8u0.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2022 Nissan Serena Highway Star V C27 Auto,stock_tail4_match:1084,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/cars/dealer/2lpoox2luysyu1iljka6ku8u0.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Wagon,1343,20221084,20221084,Petrol,1,stock_tail4_match:1084,100.0,identified,GFC27-243635,1084,0,,,45,Check with seller,Automatic,6ZZN00GFC27243635
2021 Nissan Serena Highway Star S-Hybrid C27 Auto,"$30,900",30900,"46,656km",46656,https://www.carsales.com.au/cars/details/2021-nissan-serena-highway-star-s-hybrid-c27-auto/OAG-AD-25780111/,OAG-AD-25780111,OAG-AD-25780111,2021,NISSAN,Serena,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/cars/dealer/d9rzrdj078rornkm2z33c3z74.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2021 Nissan Serena Highway Star S-Hybrid C27 Auto,stock_tail4_match:1081,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/cars/dealer/d9rzrdj078rornkm2z33c3z74.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Wagon,1341,20211081,20211081,Petrol,1,stock_tail4_match:1081,100.0,identified,GFC27-224207,1081,0,,,39,Check with seller,Automatic,6ZZM00GFC27224207
2021 Nissan Serena Highway Star S-Hybrid C27 Auto,"$29,400",29400,"52,565km",52565,https://www.carsales.com.au/cars/details/2021-nissan-serena-highway-star-s-hybrid-c27-auto/OAG-AD-25780112/,OAG-AD-25780112,OAG-AD-25780112,2021,NISSAN,Serena,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/cars/dealer/blunklb4gxzd22rnozj8adebu.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2021 Nissan Serena Highway Star S-Hybrid C27 Auto,stock_tail4_match:1080,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/cars/dealer/blunklb4gxzd22rnozj8adebu.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Wagon,1338,20211080,20211080,Petrol,1,stock_tail4_match:1080,100.0,identified,GFC27-230749,1080,0,,,27,Check with seller,Automatic,6ZZM00GFC27230749
2024 Toyota Yaris X Hybrid Auto eFour,"$28,400",28400,"22,539km",22539,https://www.carsales.com.au/cars/details/2024-toyota-yaris-x-hybrid-auto-efour/OAG-AD-25780107/,OAG-AD-25780107,OAG-AD-25780107,2024,TOYOTA,YARIS,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/cars/dealer/rtperfq5cdqujjjylpa9uhl.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2024 Toyota Yaris X Hybrid Auto eFour,stock_tail4_match:1096,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/cars/dealer/rtperfq5cdqujjjylpa9uhl.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Hatch,1244,20241096,20241096,Hybrid,1,stock_tail4_match:1096,100.0,identified,MXPH17-0003721,1096,0,,,24,Check with seller,Automatic,6ZZRMXPH170003721
2020 Toyota Hiace DX LWB Auto,"$31,900",31900,"36,000km",36000,https://www.carsales.com.au/cars/details/2020-toyota-hiace-dx-lwb-auto/OAG-AD-25780114/,OAG-AD-25780114,OAG-AD-25780114,2020,TOYOTA,Hiace,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/4tgqdxmf8rknkkd3094k0c3la.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2020 Toyota Hiace DX LWB Auto,stock_tail4_match:1092,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/4tgqdxmf8rknkkd3094k0c3la.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Van,1344,20201092,20201092,Petrol,1,stock_tail4_match:1092,100.0,identified,TRH200-0317052,1092,0,,,5,Check with seller,Automatic,6ZZLTRH2000317052
1998 Mitsubishi Pajero Mini X H53A Auto,"$10,400",10400,"61,157km",61157,https://www.carsales.com.au/cars/details/1998-mitsubishi-pajero-mini-x-h53a-auto/OAG-AD-25705796/,OAG-AD-25705796,OAG-AD-25705796,1998,MITSUBISHI,Pajero,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/u3tmxa6o0tgqf4919sme1s98.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1998 Mitsubishi Pajero Mini X H53A Auto,stock_tail4_match:1058,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/u3tmxa6o0tgqf4919sme1s98.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",SUV,1261,19981058,19981058,Petrol,1,stock_tail4_match:1058,100.0,identified,H53A-0000467,1058,0,,,19,Check with seller,Automatic,6ZZW00H53A0000467
2013 Toyota Hiace DX Super LWB Auto 4WD,"$33,900",33900,"222,468km",222468,https://www.carsales.com.au/cars/details/2013-toyota-hiace-dx-super-lwb-auto-4wd/OAG-AD-24937831/,OAG-AD-24937831,OAG-AD-24937831,2013,TOYOTA,Hiace,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/3jkj1win68tjfgn0g9wjiwr6t.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2013 Toyota Hiace DX Super LWB Auto 4WD,stock_tail3_match:605,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/3jkj1win68tjfgn0g9wjiwr6t.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Van,1187,2013605,2013605,Petrol,1,stock_tail3_match:605,95.0,identified,TRH226-0011595,605,0,,,22,Check with seller,Automatic,6ZZDTRH2260011595
2008 Toyota Hiace Super LWB Auto 4WD,"$32,900",32900,"163,439km",163439,https://www.carsales.com.au/cars/details/2008-toyota-hiace-super-lwb-auto-4wd/OAG-AD-25508529/,OAG-AD-25508529,OAG-AD-25508529,2008,TOYOTA,Hiace,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/cxtx1y2b4wafxw0swhdrjtvw3.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2008 Toyota Hiace Super LWB Auto 4WD,stock_tail3_match:723,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/cxtx1y2b4wafxw0swhdrjtvw3.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Van,1247,2008723,2008723,Petrol,1,stock_tail3_match:723,95.0,identified,TRH226-0005524,723,0,,,23,Check with seller,Automatic,6ZZ8TRH2260005524
1991 Toyota Hiace SWB Auto,"$37,900",37900,"137,631km",137631,https://www.carsales.com.au/cars/details/1991-toyota-hiace-swb-auto/OAG-AD-25532399/,OAG-AD-25532399,OAG-AD-25532399,1991,TOYOTA,Hiace,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/23iadlu2asx9o7k724hcdr9he.jpg?pxc_format=jpeg&pxc_size=1200%2C630,1991 Toyota Hiace SWB Auto,stock_tail3_match:896,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/23iadlu2asx9o7k724hcdr9he.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",Van,1302,1991896,1991896,Diesel,1,stock_tail3_match:896,95.0,identified,LH1190018886,896,0,,,32,Check with seller,Automatic,6ZZM0LH1190018886
2000 Toyota Landcruiser Cygnus Auto 4x4,"$29,900",29900,"217,819km",217819,https://www.carsales.com.au/cars/details/2000-toyota-landcruiser-cygnus-auto-4x4/OAG-AD-25437171/,OAG-AD-25437171,OAG-AD-25437171,2000,TOYOTA,Land Cruiser,,2026-04-30T08:27:09,,https://carsales.pxcrush.net/carsales/car/dealer/2plzb82wn186ff00rra20uudb.jpg?pxc_format=jpeg&pxc_size=1200%2C630,2000 Toyota Landcruiser Cygnus Auto 4x4,stock_tail3_match:804,,2026-04-30T08:27:09,"[""https://carsales.pxcrush.net/carsales/car/dealer/2plzb82wn186ff00rra20uudb.jpg?pxc_format=jpeg&pxc_size=1200%2C630""]",SUV,1289,2000804,2000804,Petrol,1,stock_tail3_match:804,95.0,identified,UZJ100-0105063,804,0,,,31,Check with seller,Automatic,6ZZYUZJ1000105063
